銘柄コード,銘柄名,証券所名,週傾き,週切片,月傾き,月切片,3ヶ月傾き,3ヶ月切片,年傾き,年切片
1301.JP,KYOKUYO,Tokyo SE,18.428571428571427,3233.095238095238,4.996240601503759,3190.785714285714,4.2058905251458745,3038.75956284153,0.9178066071101096,2929.8905605477107
1305.JP,DAIWA ETF TOPIX,Tokyo SE,15.514285714285714,1897.8809523809525,-5.200751879699248,2004.6571428571428,-3.199527646568492,2118.602732240437,-0.10752645483986033,2074.4585760837367
1306.JP,NEXT FUNDS TOPIX ETF,Tokyo SE,15.914285714285715,1874.7142857142858,-5.289097744360903,1982.3714285714286,-3.2065434843011946,2095.834699453552,-0.10553722822198891,2050.9283104571937
1308.JP,NIKKO EXCHANGE TRADED INDEX FUND TOPIX,Tokyo SE,15.457142857142857,1853.1904761904761,-5.341353383458647,1960.8428571428572,-3.1859405390386213,2072.7852459016394,-0.10706335659572408,2028.674204272407
1309.JP,NEXT FUNDS CHINAAMC SSE50 INDEX ETF,Tokyo SE,68,40356.666666666664,-153.21804511278197,43014.57142857143,-63.735204223395385,44654.0218579235,-10.399957277272518,44603.710213620354
1311.JP,NEXT FUNDS TOPIX CORE 30 ETF,Tokyo SE,6.985714285714286,869.3857142857144,-2.790526315789471,924.8500000000001,-2.339016393442623,1017.7109836065571,0.225549601691175,905.1201737928311
1312.JP,NEXT FUNDS RUSSELL/NOMURA SMALL CAP CORE INDEX ETF,Tokyo SE,139.85714285714286,18587.85714285714,-44.87218045112782,19653.285714285714,-25.04112253403723,20486.54644808743,-11.876281429921628,22457.730654027186
1313.JP,SAMSUNG KODEX200 SECURITIES ETF STOCK,Tokyo SE,-12.142857142857142,3605.8571428571427,-4.968421052631579,3644.557894736842,-7.516122448979587,3878.8767346938776,-3.224148012791229,4286.100201005025
1319.JP,NEXT FUNDS NIKKEI 300 INDEX ETF,Tokyo SE,1.5699999999999932,341.34000000000003,-0.48895768833849396,348.6561403508772,-0.6209891956782717,370.0922352941177,-0.12532675155946735,386.5337968283151
1320.JP,DAIWA ETF NIKKEI 225,Tokyo SE,194.14285714285714,25952.14285714286,-89.63157894736842,27710,-62.072381217004725,29971.551912568306,-8.879118863897885,30394.013199038873
1321.JP,NEXT FUNDS NIKKEI 225 ETF,Tokyo SE,193.71428571428572,26015.714285714286,-90.00751879699249,27779.571428571428,-61.84134481800501,30025.986338797815,-8.807264072805978,30448.0971659919
1322.JP,LISTED INDEX FUND CHINA A SHARE PANDA E FUND CSI300,Tokyo SE,9.885714285714286,7435.952380952382,-44.85338345864662,8185.157142857143,-16.841650458460684,8588.145355191256,-1.1823539013709563,8341.643230966723
1323.JP,NEXT FUNDS FTSE/JSE AFRICA TOP40 LINKED ETF,Tokyo SE,0.8342857142857091,505.8809523809524,0.5057142857142853,499.23571428571427,0.6899333148096694,470.88196721311476,0.1624725173964125,459.86378328560625
1324.JP,NEXT FUNDS RUSSIA RTS LINKED ETF,Tokyo SE,-1.6628571428571437,94.82380952380953,-4.083157894736843,159.99,-0.9279883300916922,170.60732240437156,-0.02419009195462527,160.8014976465555
1325.JP,NEXT FUNDS IBOVESPA LINKED ETF,Tokyo SE,-0.5628571428571434,183.75714285714287,0.05473684210526283,180.79,0.5175798833009171,157.06639344262288,-0.05343758753624883,186.20626707481665
1326.JP,SPDR GOLD SHARES,Tokyo SE,-52.142857142857146,21576.190476190473,77.89097744360902,20250.285714285714,40.514309530425116,18788.994535519127,8.896228107121194,17874.094170698794
1328.JP,NEXT FUNDS GOLD PRICE ETF,Tokyo SE,-18.485714285714284,5844.380952380952,20.79548872180451,5480.042857142857,11.063851069741593,5076.28306010929,2.2998369684597453,4854.017938843356
1329.JP,ISHARES CORE NIKKEI 225 ETF,Tokyo SE,193.14285714285714,25933.809523809527,-89.49624060150376,27689.714285714286,-67.28410669630453,30225.79781420765,-8.648402028926512,30501.66502090122
1330.JP,NIKKO EXCHANGE TRADED INDEX FUND 225,Tokyo SE,194.42857142857142,26043.09523809524,-89.6015037593985,27799.714285714286,-62.065018060572385,30062.918032786885,-8.958248609999941,30508.462690497352
1332.JP,NIPPON SUISAN KAISHA,Tokyo SE,7.314285714285714,537.047619047619,0.09323308270676692,540.6142857142858,0.006446235065295915,541.8431693989071,0.14976812844225273,545.2462091438729
1333.JP,MARUHA NICHIRO,Tokyo SE,16.485714285714284,2445.6190476190477,-6.706015037593985,2550.957142857143,2.3571825507085307,2392.4464480874312,-0.34068879918907424,2535.7571014778973
1343.JP,NEXT FUNDS REIT INDEX ETF,Tokyo SE,2.3,2019,-0.06390977443609022,2022.807142857143,-3.6900111141983882,2193.5803278688522,-0.6963673590301137,2288.2623185543594
1345.JP,LISTED INDEX FUND J REIT TOKYO STOCK EXCHANGE REIT INDEX,Tokyo SE,2.657142857142857,1892.857142857143,-1.4578947368421054,1921.9499999999998,-3.4924979160878022,2068.87868852459,-0.6435411095414763,2155.1691517724894
1346.JP,MAXIS NIKKEI225 ETF,Tokyo SE,186.14285714285714,25972.14285714286,-88.1203007518797,27706.14285714286,-65.43136982495137,30118.308743169397,-8.789268131465084,30500.85201277114
1348.JP,MAXIS TOPIX ETF,Tokyo SE,15.3,1857.3333333333333,-5.406390977443609,1965.9357142857143,-3.5785218116143374,2094.066393442623,-0.08942491581405941,2041.9931700734012
1349.JP,ABF PAN ASIA BOND INDEX FUND,Tokyo SE,30,13655,10.456140350877194,13489.842105263158,-2.5456027561598327,13675.394506136761,1.5951663092015052,13252.664748953976
1352.JP,HOHSUI,Tokyo SE,0.2,1217,27.38646616541354,813.1285714285714,6.510169491525423,720.3666666666667,-0.2662845051519174,972.6735104176953
1356.JP,TOPIX BEAR 2X ETF,Tokyo SE,-19.457142857142856,1206.3095238095239,4.87593984962406,1103.2785714285712,2.840722422895249,1002.7053551912568,-0.5455841426133009,1172.4738948685035
1357.JP,NEXT FUNDS NIKKEI 225 DOUBLE INVERSE INDEX ETF,Tokyo SE,-7.114285714285714,483.95238095238096,2.445112781954887,433.8714285714286,1.5584328980272295,378.15956284153003,-0.002196996108604398,414.5496198281821
1358.JP,LISTED INDEX FUND NIKKEI LEVERAGED INDEX,Tokyo SE,334.85714285714283,21972.85714285714,-166.3796992481203,25199.35714285714,-119.85565434843015,29611.82513661202,-18.036493673207413,30732.661531878475
1360.JP,NIKKEI225 BEAR 2X ETF,Tokyo SE,-17.585714285714285,1183.547619047619,5.893233082706767,1061.8142857142857,3.840505696026674,923.3217486338797,0.0015149237338857096,1011.6562917612981
1364.JP,ISHARES JPX NIKKEI 400 ETF,Tokyo SE,128,16475,-50.2406015037594,17458.285714285714,-34.242428452347866,18725.734972677594,-0.6399970623995296,18132.263315082128
